video_link,criador,descricao,likes,comentarios,visualizacoes,data_publicacao,musica,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,hashtags,timestamp
https://www.tiktok.com/@carolineanisam/video/7600865586251353358,,Let’s debrief on all of the wellness trends I’m seeing! LMK what YOU are seeing 💫 ,183,2,,,,False,False,False,False,False,False,[],2026-04-13 20:10:55
https://www.tiktok.com/@paulaahnen/video/7609621749814136086,,Do it for your future self 🤍 #healthylifestyle #wellnesslifestyle ,1671,53,,,,False,False,False,False,False,False,"['#healthylifestyle', '#wellnesslifestyle']",2026-04-13 20:11:00
https://www.tiktok.com/@livinwithiz/video/7262051006475750698,,the only way #lifestyle #wellness #aesthetic #morningroutine ,3056,11,,,,False,False,False,False,False,False,"['#lifestyle', '#wellness', '#aesthetic', '#morningroutine']",2026-04-13 20:11:07
https://www.tiktok.com/@lykkenaenfeldt/video/7166555476048563461,,just a note on healthy habits☁️ you’ve got this🫶🏼 #wellness ,23200,57,,,,False,False,False,False,False,False,['#wellness'],2026-04-13 20:11:13
https://www.tiktok.com/@femmeviralhub/video/7602232650752855317,,"Monday mindset: New week, New goals.✨️🤍 Back tô the routine.
#cleangirl ",12400,471,,,,False,False,False,False,False,False,['#cleangirl'],2026-04-13 20:11:20
https://www.tiktok.com/@sofialiaa/video/7577468220488060174,,7am morning routine 🎀 @Resolve #morningroutine #7am #grwm ,216600,3657,,,,False,False,False,False,False,False,"['#morningroutine', '#7am', '#grwm']",2026-04-13 20:11:26
https://www.tiktok.com/@anfel_diaries/video/7508082416540519685,,"Better energy >> better me 🩶✨

#fitness #gymworkout ",8444,42,,,,False,False,False,False,False,False,"['#fitness', '#gymworkout']",2026-04-13 20:11:32
https://www.tiktok.com/@luisamarthamaier/video/7375408382200614176,,"in my wellness girl era 🫧
#selfcareroutine #healthandwellness ",20300,76,,,,False,False,False,False,False,False,"['#selfcareroutine', '#healthandwellness']",2026-04-13 20:11:39
https://www.tiktok.com/@shaaayyaaaa/video/7588622851268300064,,I like to have a slow self care evening every now and then 😌💆🏻‍♀️☕️,5575,38,,,,False,False,False,False,False,False,[],2026-04-13 20:11:45
https://www.tiktok.com/@lisabianci/video/7618864623827045665,,"and that's all the explanation it needs.

#wellnessgirl #glowyskin ",94,2,,,,False,False,False,False,False,False,"['#wellnessgirl', '#glowyskin']",2026-04-13 20:11:52
https://www.tiktok.com/@jade.com__/video/7348585840437660970,,life got so much easier when I started to prioritizing God and myself 🤍 ,1274,15,,,,False,False,False,False,False,False,[],2026-04-13 20:11:57
https://www.tiktok.com/@abbyinnashville/video/7507700710377639214,,Sue me! #facial #propaganda #selfcare #wellness ,66,10,,,,False,False,False,False,False,False,"['#facial', '#propaganda', '#selfcare', '#wellness']",2026-04-13 20:12:04
https://www.tiktok.com/@angelxvibesz/video/7590539012524313889,,"remember this in 2026
#visionboard #healthy #lifestyle #aesthetic ",650,0,,,,False,False,False,False,False,False,"['#visionboard', '#healthy', '#lifestyle', '#aesthetic']",2026-04-13 20:12:09
https://www.tiktok.com/@womenshealthus/video/7582798366476750094,,"In your 30s, 40s, or 50s, this gel is here for you #wellnesstok ",2511,69,,,,False,False,False,False,False,False,['#wellnesstok'],2026-04-13 20:12:16
https://www.tiktok.com/@massage_relaxx/video/7582582323481169173,,Soft Neck & Chest Massage Moment in a Calm Studio,949,19,,,,False,False,False,False,False,False,[],2026-04-13 20:12:23
https://www.tiktok.com/@rayanaferej/video/7508907329753009438,,"just a selfcare girl 🎀🪩✨  
#healthylifestyle #motivation ",2239,113,,,,False,False,False,False,False,False,"['#healthylifestyle', '#motivation']",2026-04-13 20:12:29
https://www.tiktok.com/@hs.george/video/7464678026261826849,,daily skincare and pinterest scroll ! #SelfCare #skincare #routine ,51400,377,,,,False,False,False,False,False,False,"['#SelfCare', '#skincare', '#routine']",2026-04-13 20:12:35
https://www.tiktok.com/@dailywellnessclub/video/7566200347039894791,,NEW Wellness Spot in Sydney: A must-visit for wellness lovers ✨,2496,30,,,,False,False,False,False,False,False,[],2026-04-13 20:12:42
https://www.tiktok.com/@serenaeh_/video/7227821312448711963,,"tunnel vision era💫 
#healthylifestyle #healthandwellness ",7145,21,,,,False,False,False,False,False,False,"['#healthylifestyle', '#healthandwellness']",2026-04-13 20:12:49
https://www.tiktok.com/@honeyglow1/video/7591146070537735444,,🌿 Honey Glow Beauty World Spa Benefits 🌿,4249,44,,,,False,False,False,False,False,False,[],2026-04-13 20:12:56
https://www.tiktok.com/@thisisndamu/video/7445334059602971936,,"Morning routines at the gym 🖤

@lululemon @maccosmetics 
#fyp ",12200,110,,,,False,False,False,False,False,False,['#fyp'],2026-04-13 20:13:02
https://www.tiktok.com/@angelpins/video/7601076546790559007,,☮️🥥🌴🧘‍♀️💦☀️🫐🍵 #fyp  #foryoupage #health #wellness #aesthetic ,841,0,,,,False,False,False,False,False,False,"['#fyp', '#foryoupage', '#health', '#wellness', '#aesthetic']",2026-04-13 20:13:08
https://www.tiktok.com/@olaaxdiary/video/7528686090954345750,,"spend a girly, productive morning with me 🍃🧘🏼‍♀️

#morningroutine ",48200,939,,,,False,False,False,False,False,False,['#morningroutine'],2026-04-13 20:13:15
https://www.tiktok.com/@luisamarthamaier/video/7600126551522315542,,"discipline > motivation 🎧
#wellnessgirl #moodboard ",2131,5,,,,False,False,False,False,False,False,"['#wellnessgirl', '#moodboard']",2026-04-13 20:13:21
https://www.tiktok.com/@starrysleep444/video/7593726472284654870,,This is the adulthood I was promised 🪷🧘‍♀️ #2000s #2000yogaaesthetic #pilates ,11200,24,,,,False,True,False,False,False,False,"['#2000s', '#2000yogaaesthetic', '#pilates']",2026-04-13 20:13:27
https://www.tiktok.com/@noradrkx/video/7357787767935356193,,🧖🏾‍♀️🫧🩵 #wellnest #spa #essen #nrw #whirlpool #wellness #relax ,1303,28,,,,False,False,False,False,False,False,"['#wellnest', '#spa', '#essen', '#nrw', '#whirlpool', '#wellness', '#relax']",2026-04-13 20:13:34
https://www.tiktok.com/@maria.mcco/video/7226942210497973510,,in my self care era 🫶🏼🧖🏼‍♀️ #wellness #selfcare #selfcareroutine ,72600,108,,,,False,False,False,False,False,False,"['#wellness', '#selfcare', '#selfcareroutine']",2026-04-13 20:13:41
https://www.tiktok.com/@beautifysalonco/video/7492698713043848470,,"Where luxury meets tranquility 🤍✨

#beauty #salon #wellness #spa ",25900,131,,,,False,False,False,False,False,False,"['#beauty', '#salon', '#wellness', '#spa']",2026-04-13 20:13:47
https://www.tiktok.com/@anahmarieee/video/7561998261305740574,,my wellness morning routine 💗🌟 ft @Proper Health ,704,43,,,,False,False,False,False,False,False,[],2026-04-13 20:13:54
https://www.tiktok.com/@elisapur/video/7584244873734147383,,"take a break from scrolling 💕📱🧸

#unwindwithme #wellness ",724800,12000,,,,False,False,False,False,False,False,"['#unwindwithme', '#wellness']",2026-04-13 20:14:01
https://www.tiktok.com/@sofiiades/video/7620374015076568341,,and I had a massive t bone steak just before 😁🥹 #lymphaticdrainage,461,27,,,,False,True,False,False,False,False,['#lymphaticdrainage'],2026-04-13 20:14:07
https://www.tiktok.com/@saynasheikhh/video/7249517954398981422,,favorite type of days 🎧🧖🏽‍♀️☁️🫧           #selfcareroutine #selfcaredays ,585,3,,,,False,False,False,False,False,False,"['#selfcareroutine', '#selfcaredays']",2026-04-13 20:14:14
https://www.tiktok.com/@charlie__gl/video/7542469389115755806,,Morning Routine 🎀🥒🧖🏽‍♀️ #wellnessjourney #morningroutine ,1041,7,,,,False,False,False,False,False,False,"['#wellnessjourney', '#morningroutine']",2026-04-13 20:14:21
https://www.tiktok.com/@luisamarthamaier/video/7554644826839371030,,"happy weekend 🩷
#wellnessgirl #wellnessroutine #selfcare ",1859,12,,,,False,False,False,False,False,False,"['#wellnessgirl', '#wellnessroutine', '#selfcare']",2026-04-13 20:14:28
https://www.tiktok.com/@paulaahnen/video/7618570867752144161,,wait why is taking care of myself kinda addictive #wellnessgirlies ,108,20,,,,False,True,False,False,False,False,['#wellnessgirlies'],2026-04-13 20:14:35
https://www.tiktok.com/@ju.imperatori/video/7395054782316088582,,with the best @Gabi Paes 💘💘 #aesthetic #lifestyle #hotspots ,8523,36,,,,False,False,False,False,False,False,"['#aesthetic', '#lifestyle', '#hotspots']",2026-04-13 20:14:41
https://www.tiktok.com/@fashion_is.life/video/7464369288246349078,,#clean #wellness #fyp #foryou #aesthetic #cleangirl #healthy ,3191,13,,,,False,False,False,False,False,False,"['#clean', '#wellness', '#fyp', '#foryou', '#aesthetic', '#cleangirl', '#healthy']",2026-04-13 20:14:48
https://www.tiktok.com/@gianariveraaa/video/7584288964647931150,,"wellness era
#wellness #health #healthylifestyle #fyp #aesthetic ",122,1,,,,False,False,False,False,False,False,"['#wellness', '#health', '#healthylifestyle', '#fyp', '#aesthetic']",2026-04-13 20:14:55
https://www.tiktok.com/@juan_macchia/video/7506066700354342200,,He’s a wellness junkie 🫱🏻‍🫲🏼🧃 #calogram #wellnessjourney #fitness ,2098,18,,,,False,False,False,False,False,False,"['#calogram', '#wellnessjourney', '#fitness']",2026-04-13 20:15:02
https://www.tiktok.com/@ftsvitoria/video/7551583514357976376,,"ao mesmo tempo que quero fazer tudo, não quero fazer nada

#aesthetic #girls #viral #vibes ",142700,250,,,,False,True,False,False,False,False,"['#aesthetic', '#girls', '#viral', '#vibes']",2026-04-13 20:15:08
https://www.tiktok.com/@bryannawozniak/video/7619046749121809677,,gym morning routine 🦢🎧🫧🏋🏻‍♀️ #morningvlog #workoutroutine ,454,17,,,,False,False,False,False,False,False,"['#morningvlog', '#workoutroutine']",2026-04-13 20:15:15
https://www.tiktok.com/@amanda_cosenza/video/7492920949197540663,,vloguinho noturno 👼🏼🌙 #selfcare #selfcareroutine #nightroutine ,16900,245,,,,False,False,False,False,False,False,"['#selfcare', '#selfcareroutine', '#nightroutine']",2026-04-13 20:15:21
https://www.tiktok.com/@francescaaaac/video/7623824027445923090,,"my favorite era 🧘🏼‍♀️🧘🏼‍♀️🧘🏼‍♀️

#wellnessaesthetic #selfcare #lockin ",482,3,,,,False,False,False,False,False,False,"['#wellnessaesthetic', '#selfcare', '#lockin']",2026-04-13 20:15:28
https://www.tiktok.com/@baileycarro/video/7163384988270955781,,my forever era 😌✨ #wellnessaesthetic #healthylifestylejourney ,12800,39,,,,False,False,False,False,False,False,"['#wellnessaesthetic', '#healthylifestylejourney']",2026-04-13 20:15:33
https://www.tiktok.com/@auraestheticsbyamy/video/7446096890858327342,,"B R O W  L A M I N A T I O N ✨ 
 
#esthetician #brows ",92,1,,,,False,False,False,False,False,False,"['#esthetician', '#brows']",2026-04-13 20:15:42
https://www.tiktok.com/@acquaint8d/video/7624157169671539989,,#fyp #foryoupage #moodboard #aesthetic #fypviral ,5275,6,,,,False,False,False,False,False,False,"['#fyp', '#foryoupage', '#moodboard', '#aesthetic', '#fypviral']",2026-04-13 20:15:49
https://www.tiktok.com/@aaliyahxbw/video/7494276572778646806,,#selfmotivation #motivation #gymaesthetic #wellnessera ,154800,410,,,,False,False,False,False,False,False,"['#selfmotivation', '#motivation', '#gymaesthetic', '#wellnessera']",2026-04-13 20:15:56
https://www.tiktok.com/@oliviamaebarness/video/7525988231708527890,,your daily reminder 💌 #fyp #emmachamberlain #selfcare ,106000,318,,,,False,False,False,False,False,False,"['#fyp', '#emmachamberlain', '#selfcare']",2026-04-13 20:16:02
https://www.tiktok.com/@yana.xvi/video/7620762179704343830,,Entering our wellness era now that we’ve started defrosting 🫶🏼,518,24,,,,False,False,False,False,False,False,[],2026-04-13 20:16:09
