video_link,criador,descricao,likes,comentarios,visualizacoes,data_publicacao,musica,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,hashtags,timestamp
https://www.tiktok.com/@jonathan.wanton/video/7626649405768092941,jonathan.wanton,"Sky vibes🩵
#darkaesthetic #moody_nature #peacefulvibes",3,0.0,0.0,,,False,False,False,False,False,False,"['darkaesthetic', 'moody_nature', 'peacefulvibes']",2026-04-09 13:50:22
https://www.tiktok.com/@byviktoria_/video/7625700823653190944,byviktoria_,"this feeling again🕯✨️
 #aestheticvideos #moody #cozyathome #fyp",24,0.0,0.0,,,False,False,False,False,False,False,"['aestheticvideos', 'moody', 'cozyathome', 'fyp']",2026-04-09 13:50:30
https://www.tiktok.com/@iignacio00o/video/7624658500408347925,iignacio00o,#DarkAesthetic #fyp #cinematicphotography #MoodyLandscape #clouds ,23800,251.0,0.0,,,False,False,False,False,False,False,"['darkaesthetic', 'fyp', 'cinematicphotography', 'moodylandscape', 'clouds']",2026-04-09 13:50:40
https://www.tiktok.com/@629c8144/video/7625958959819672862,629c8144,Seattle rainy day transformation  Proof that clouds can’t dull this shine! ,28,0.0,0.0,,,False,False,False,False,False,False,[],2026-04-09 13:50:48
https://www.tiktok.com/@shorethanggg/video/7144551734067662082,shorethanggg,Beach vibess #dark #beach #aesthetic #darknaturalism #darktok ,50100,144.0,0.0,,,False,False,False,False,False,False,"['dark', 'beach', 'aesthetic', 'darknaturalism', 'darktok']",2026-04-09 13:50:58
https://www.tiktok.com/@moodboard.ni/video/7616817558745877780,moodboard.ni,#Pinterest #moodboard #asia #vibe #aesthetic ,29600,70.0,0.0,,,False,False,False,False,False,False,"['pinterest', 'moodboard', 'asia', 'vibe', 'aesthetic']",2026-04-09 13:51:07
https://www.tiktok.com/@the.moody.aesthetic/video/7582415767795191053,the.moody.aesthetic,,2578,18.0,0.0,,,False,False,False,False,False,False,[],2026-04-09 13:51:14
https://www.tiktok.com/@popversebr/video/7618669559540731157,popversebr,"A noite esta pesando de um lado...
#arcticmonkeys #indie ",10,0.0,0.0,,,False,True,False,False,False,False,"['arcticmonkeys', 'indie']",2026-04-09 13:51:22
https://www.tiktok.com/@nabieeiee/video/7624493242440256788,nabieeiee,#fyp #foryou #aesthetic #cleangirl #quietlife #moodboard ,300,2.0,0.0,,,False,False,False,False,False,False,"['fyp', 'foryou', 'aesthetic', 'cleangirl', 'quietlife', 'moodboard']",2026-04-09 13:51:33
https://www.tiktok.com/@pretty_paid_powerful/video/7560081679809776951,pretty_paid_powerful,"Black isn’t just a color, it’s a mood 🖤💫 #black #blacklovers🖤🖤🖤🖤",131,3.0,0.0,,,False,False,False,False,False,False,"['black', 'blacklovers']",2026-04-09 13:51:41
https://www.tiktok.com/@starlaneq/video/7619682896130985223,starlaneq,#moodboard #quietlife #vibe #aesthetic #pinterest #mood ,74200,65.0,0.0,,,False,False,False,False,False,False,"['moodboard', 'quietlife', 'vibe', 'aesthetic', 'pinterest', 'mood']",2026-04-09 13:51:50
https://www.tiktok.com/@617gah/video/7618073929327971605,617gah,"60202929282 #darkaesthetic
#gothicvibes
#moodygrams",44700,130.0,0.0,,,False,False,False,False,False,False,"['darkaesthetic', 'gothicvibes', 'moodygrams']",2026-04-09 13:52:00
https://www.tiktok.com/@lanunicorn/video/7623216533229079839,lanunicorn,always #travel #life #aesthetic #mood #world ,40400,53.0,0.0,,,False,False,False,False,False,False,"['travel', 'life', 'aesthetic', 'mood', 'world']",2026-04-09 13:52:07
