video_link,criador,descricao,likes,comentarios,visualizacoes,data_publicacao,musica,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,hashtags,timestamp
https://www.tiktok.com/@ilovefriedrice37/video/7459249347813739819,ilovefriedrice37,gloomy / foggy coquette #CapCut #gloomycoquette #pink #foggy #gray #dark #pinterest #pinterestaesthetic #fyp #foryou ,3766,40,0.0,,,False,False,False,False,False,False,"['capcut', 'gloomycoquette', 'pink', 'foggy', 'gray', 'dark', 'pinterest', 'pinterestaesthetic', 'fyp', 'foryou']",2026-04-08 14:22:14
https://www.tiktok.com/@pearlmoodboards/video/7603705863362071841,pearlmoodboards,the colder months🌨️ #moodboard #moodboardaesthetic #gloomy ,13500,83,0.0,,,False,False,False,False,False,False,"['moodboard', 'moodboardaesthetic', 'gloomy']",2026-04-08 14:22:25
https://www.tiktok.com/@strawb3rry927/video/7391891870508403999,strawb3rry927,Just needed somthing to post😭 #horrorprotagonistoutfits #fyp #gloomycoquette #coquetteaesthetic ,17800,68,0.0,,,False,False,False,False,False,False,"['horrorprotagonistoutfits', 'fyp', 'gloomycoquette', 'coquetteaesthetic']",2026-04-08 14:22:34
https://www.tiktok.com/@maddiyee_/video/7615438509096176917,maddiyee_,#gloomycoquette #foryou #fy #vibe #girlblogger ,904,7,0.0,,,False,False,False,False,False,False,"['gloomycoquette', 'foryou', 'fy', 'vibe', 'girlblogger']",2026-04-08 14:22:43
https://www.tiktok.com/@tay.bishop_/video/7488871195694075191,tay.bishop_,"dreamcore coquette🩶🩷
#coquettecore #dreamcore #coquette #coquetteaesthetic
#coquettegirl #coquettefashion
#coquettestyle ",2519,84,0.0,,,False,False,False,False,False,False,"['coquettecore', 'dreamcore', 'coquette', 'coquetteaesthetic', 'coquettegirl', 'coquettefashion', 'coquettestyle']",2026-04-08 14:22:52
https://www.tiktok.com/@heydovewxs/video/7576378929800318264,heydovewxs,"girlblogger’s november 
#girlbloggeraesthetic #moodboard #gloomycoquetteaesthetic #gloomyaesthetic #girlblogger",227,3,0.0,,,False,False,False,False,False,False,"['girlbloggeraesthetic', 'moodboard', 'gloomycoquetteaesthetic', 'gloomyaesthetic', 'girlblogger']",2026-04-08 14:23:06
https://www.tiktok.com/@dollsyies_/video/7625384594367450389,dollsyies_,#moodboard #gloomycoquette #ellefanning #ballet #dollsyies ,94,0,0.0,,,False,False,False,False,False,False,"['moodboard', 'gloomycoquette', 'ellefanning', 'ballet', 'dollsyies']",2026-04-08 14:23:17
https://www.tiktok.com/@pearlmoodboards/video/7609937732592225569,pearlmoodboards,#gloomy #moody #moodboard #2000s #gloomycoquette ,1321,5,0.0,,,False,False,False,False,False,False,"['gloomy', 'moody', 'moodboard', '2000s', 'gloomycoquette']",2026-04-08 14:23:26
https://www.tiktok.com/@coquetteswan7/video/7624906315046849812,coquetteswan7,#fyp #girlblogger #moodboard #gloomycoqquete #viral ,1189,10,0.0,,,False,False,False,False,False,False,"['fyp', 'girlblogger', 'moodboard', 'gloomycoqquete', 'viral']",2026-04-08 14:23:36
https://www.tiktok.com/@heydovewxs/video/7581456860184595723,heydovewxs,"you don’t understand 
#moodboard #gloomycoquetteaesthetic #gloomyvibes #moodboardvibes #girlblogger ",315,5,0.0,,,False,False,False,False,False,False,"['moodboard', 'gloomycoquetteaesthetic', 'gloomyvibes', 'moodboardvibes', 'girlblogger']",2026-04-08 14:23:47
https://www.tiktok.com/@mariazocak/video/7613349992807386386,mariazocak,"vanilla
#gloomycoquette #moodboard #aesthetic #pinterest ",860,5,0.0,,,False,False,False,False,False,False,"['gloomycoquette', 'moodboard', 'aesthetic', 'pinterest']",2026-04-08 14:23:58
